canonical,canonical_wires,completion,completion_length,completion_n_wires,completion_max_wire,source_identity,source_identity_length,source_identity_n,window_position_in_source,window_in_source_wires,orientation
012;031,4,021;213;023;032;213,5,4,3,M7-A,7,4,1,021;032,forward
012;031,4,042;043;013;024;034;021,6,5,4,M8,8,5,0,340;314,forward
012;031,4,130;023;120;021;130;013;120,7,4,3,M9-B,9,4,4,021;013,reverse
012;031,4,241;143;013;043;143;012;241,7,5,4,M9-C,9,5,4,142;120,reverse
012;031,4,142;021;142;053;513;053;513,7,6,5,M9-D,9,6,8,013;021,forward
012;031,4,034;042;132;241;031;021;043;042;241;132,10,5,4,M12-wide,12,5,9,031;012,reverse
012;031,4,432;214;034;024;013;012;214;432;034;042,10,5,4,M12-wide,12,5,11,034;042,reverse
012;031,4,013;301;102;031;032;130;102;021;310;013;103,11,4,3,M13,13,4,1,013;021,forward
012;031,4,120;301;103;013;130;102;103;310;012;130;132,11,4,3,M13,13,4,7,103;120,forward
012;031,4,130;312;103;021;301;130;312;031;203;310;130;023;230,13,4,3,M15,15,4,14,032;013,forward
012;123,4,023;021;123;021;012,5,4,3,M7-narrow,7,4,2,021;213,forward
012;123,4,021;123;021;023;012,5,4,3,M7-narrow,7,4,3,213;021,reverse
012;123,4,021;032;123;031;013,5,4,3,M7-A,7,4,6,123;012,reverse
012;123,4,103;032;031;103;021;123;013,7,4,3,M9-A,9,4,2,032;103,reverse
012;123,4,103;032;102;032;130;012;120,7,4,3,M9-A,9,4,4,012;123,forward
012;123,4,032;130;012;120;012;120;032;132;130;012,10,4,3,M12,12,4,5,012;123,forward
012;123,4,130;132;032;120;012;120;012;130;032;012,10,4,3,M12,12,4,6,123;012,reverse
012;123,4,231;321;102;021;123;130;321;230;312;103;213;321;230,13,4,3,M15,15,4,5,201;013,forward
012;123,4,301;120;210;031;310;012;023;210;123;201;032;102;210,13,4,3,M15,15,4,6,013;132,forward
012;132,4,021;132;023;031;013,5,4,3,M7-A,7,4,5,013;123,forward
012;132,4,134;021;134;041;132;014;034,7,5,4,M9-dataset,9,5,7,431;301,forward
012;132,4,132;013;102;023;021;102;031,7,4,3,M9-A,9,4,0,032;102,reverse
012;132,4,132;031;102;021;023;102;013,7,4,3,M9-A,9,4,1,102;032,forward
012;132,4,032;132;014;431;021;014;431,7,5,4,M9-C,9,5,7,234;124,reverse
012;132,4,132;012;345;053;345;035;023,7,6,5,M9-D,9,6,1,412;042,reverse
012;132,4,132;023;034;354;043;354;012,7,6,5,M9-D,9,6,2,042;412,forward
012;132,4,345;053;345;035;023;132;012,7,6,5,M9-D,9,6,3,412;042,reverse
012;132,4,041;514;054;514;054;132;021,7,6,5,M9-D,9,6,7,153;013,reverse
012;132,4,021;123;014;132;043;023;024;123;041,9,5,4,M11-wide,11,5,6,042;412,forward
012;132,4,201;023;102;310;021;201;130;301;102;123;201;023;210,13,4,3,M15,15,4,9,103;023,forward
021;031,4,023;012;013;032,4,4,3,Family-A_3,6,4,5,032;012,forward
021;031,4,013;043;042;012;034;024,6,5,4,M8,8,5,1,314;304,forward
021;031,4,034;024;043;013;012;042,6,5,4,M8,8,5,3,312;302,forward
021;031,4,043;013;042;012;024;034,6,5,4,M8,8,5,5,341;321,forward
021;031,4,024;034;012;042;013;043,6,5,4,M8,8,5,7,320;340,forward
021;031,4,324;034;321;043;321;013;324,7,5,4,M9-dataset,9,5,0,402;432,forward
021;031,4,231;432;024;012;432;024;231,7,5,4,M9-C,9,5,8,124;134,forward
021;031,4,420;021;403;402;031;431;421;430,8,5,4,M10,10,5,6,120;140,forward
021;031,4,034;431;421;024;421;043;042;431,8,5,4,M10,10,5,9,320;340,forward
021;031,4,023;421;034;412;042;024;421;043;412,9,5,4,M11-wide,11,5,0,021;031,forward
021;031,4,320;031;310;031;310;021;321;320;031;312,10,4,3,M12,12,4,4,032;012,forward
021;031,4,341;123;043;024;013;021;123;341;043;042,10,5,4,M12-wide,12,5,3,031;021,forward
021;031,4,045;036;057;026;054;063;013;074;012;075;062;047,12,8,7,M14-A,14,8,6,056;046,forward
021;031,4,045;026;047;036;054;012;062;057;013;074;063;075,12,8,7,M14-A,14,8,13,064;074,forward
021;031,4,045;063;057;013;054;012;062;074;036;075;026;047,12,8,7,M14-B,14,8,6,046;056,forward
021;031,4,045;062;047;012;054;063;013;057;026;074;036;075,12,8,7,M14-B,14,8,13,074;064,forward
021;031,4,045;036;057;026;054;063;013;075;012;074;062;047,12,8,7,M14-C,14,8,6,056;046,forward
021;031,4,045;026;047;036;074;012;062;075;013;054;063;057,12,8,7,M14-C,14,8,13,064;074,forward
021;123,4,012;123;012;023;021,5,4,3,M7-narrow,7,4,5,012;213,forward
021;123,4,023;012;123;012;021,5,4,3,M7-narrow,7,4,6,213;012,reverse
021;123,4,103;031;032;103;012;123;013,7,4,3,M9-A,9,4,8,130;032,forward
021;123,4,120;031;103;021;130;102;031,7,4,3,M9-B,9,4,7,032;130,reverse
021;123,4,410;431;021;410;123;423;413,7,5,4,M9-C,9,5,6,032;234,forward
021;123,4,123;143;041;023;043;143;012;014,8,5,4,M10,10,5,4,120;321,reverse
021;123,4,123;014;012;143;043;023;041;143,8,5,4,M10,10,5,5,321;120,forward
021;123,4,043;023;123;014;012;143;041;143,8,5,4,M10,10,5,7,140;341,reverse
021;123,4,012;132;041;123;024;023;043;132;014,9,5,4,M11-wide,11,5,4,421;024,reverse
021;123,4,103;031;103;031;123;023;021;103;032;103,10,4,3,M12,12,4,3,130;032,forward
021;123,4,024;013;043;123;341;021;042;031;043;341,10,5,4,M12-wide,12,5,6,042;241,forward
021;123,4,013;024;043;123;341;021;031;042;043;341,10,5,4,M12-wide,12,5,8,132;031,reverse
021;123,4,013;130;201;102;012;120;103;102;210;013;120,11,4,3,M13,13,4,8,120;023,forward
021;123,4,210;213;201;120;210;012;231;123;102;203;201,11,4,3,M13,13,4,11,103;201,reverse
021;123,4,045;023;046;012;054;123;056;012;064;021;065,11,7,6,S13-1,13,7,12,213;012,reverse
021;123,4,425;023;426;012;452;123;456;012;462;021;465,11,7,6,S13-2,13,7,12,213;012,reverse
021;123,4,452;023;456;012;425;123;426;012;465;021;462,11,7,6,S13-3,13,7,12,213;012,reverse
021;123,4,456;023;452;012;465;123;462;012;425;021;426,11,7,6,S13-4,13,7,12,213;012,reverse
021;123,4,435;023;436;012;453;123;456;012;463;021;465,11,7,6,S13-5,13,7,12,213;012,reverse
021;123,4,453;023;456;012;435;123;436;012;465;021;463,11,7,6,S13-6,13,7,12,213;012,reverse
021;123,4,456;023;453;012;465;123;463;012;435;021;436,11,7,6,S13-7,13,7,12,213;012,reverse
021;123,4,102;321;231;012;123;230;321;213;103;312;230;321;130,13,4,3,M15,15,4,0,013;210,reverse
021;132,4,012;132;013;031;023,5,4,3,M7-A,7,4,3,123;031,reverse
021;132,4,134;012;032;134;014;132;041,7,5,4,M9-dataset,9,5,3,423;302,forward
021;132,4,103;120;031;102;021;130;031,7,4,3,M9-B,9,4,6,120;032,forward
021;132,4,234;034;024;234;132;021;042,7,5,4,M9-C,9,5,2,120;032,forward
021;132,4,042;132;021;234;034;024;234,7,5,4,M9-C,9,5,5,120;032,forward
021;132,4,132;012;041;514;054;514;054,7,6,5,M9-D,9,6,5,153;031,reverse
021;132,4,132;045;415;045;415;051;012,7,6,5,M9-D,9,6,6,031;153,forward
021;132,4,102;021;102;031;132;102;023;102;031;032,10,4,3,M12,12,4,10,032;120,reverse
021;132,4,120;210;102;123;120;012;213;102;103;201;213,11,4,3,M13,13,4,5,210;031,forward
021;132,4,201;312;120;203;021;210;130;012;203;021;103;120;321,13,4,3,M15,15,4,2,021;310,reverse
021;132,4,213;130;312;123;203;321;130;312;230;213;012;201;312,13,4,3,M15,15,4,4,130;201,reverse
032;123,4,021;012;123;013;031,5,4,3,M7-A,7,4,2,032;123,forward
032;123,4,024;254;042;254;013;123;013,7,6,5,M9-D,9,6,0,021;412,forward
032;132,4,041;014;132;014;041,5,5,4,M7-wide,7,5,2,034;134,forward
032;132,4,012;132;431;014;021;431;014,7,5,4,M9-C,9,5,0,134;234,forward
032;132,4,042;031;132;142;041;142;013;014,8,5,4,M10,10,5,0,340;140,forward
032;132,4,031;102;023;102;132;031;102;021;102;021,10,4,3,M12,12,4,9,132;032,forward
103;012,4,032;102;032;130;012;120;123,7,4,3,M9-A,9,4,3,103;012,forward
103;012,4,210;321;102;012;231;312;210;203;012;103;021;230;120,13,4,3,M15,15,4,7,132;310,forward
103;012,4,021;230;120;012;103;210;321;102;012;231;312;210;203,13,4,3,M15,15,4,12,132;310,forward
130;012,4,032;102;032;103;012;123;120,7,4,3,M9-A,9,4,7,012;130,reverse
130;012,4,021;013;120;032;130;031;120,7,4,3,M9-B,9,4,2,012;130,reverse
130;012,4,023;120;021;130;013;120;031,7,4,3,M9-B,9,4,5,013;120,reverse
130;012,4,032;012;123;012;130;132;032;120;012;120,10,4,3,M12,12,4,2,012;130,reverse
130;012,4,132;032;120;012;120;012;130;032;012;123,10,4,3,M12,12,4,7,012;130,reverse
130;012,4,132;031;012;120;301;103;013;130;102;103;310,11,4,3,M13,13,4,10,021;103,forward
130;012,4,210;021;203;120;312;201;021;132;321;120;103;021;203,13,4,3,M15,15,4,10,023;301,forward
130;012,4,321;031;103;012;301;230;013;103;320;203;301;312;103,13,4,3,M15,15,4,11,301;132,forward
130;012,4,312;103;021;301;130;312;031;203;310;130;023;230;031,13,4,3,M15,15,4,13,310;032,forward
130;021,4,031;132;021;103;120;031;102,7,4,3,M9-B,9,4,0,031;120,forward
130;021,4,012;120;031;130;032;120;013,7,4,3,M9-B,9,4,3,130;021,forward
130;021,4,420;432;410;431;130;021;420;423;401;431,10,5,4,M12-wide,12,5,1,132;241,forward
130;021,4,431;432;410;420;130;021;431;423;401;420,10,5,4,M12-wide,12,5,7,241;132,forward
012;143,5,021;143;043;021;012,5,5,4,M7-wide,7,5,5,012;134,forward
012;143,5,021;043;143;021;012,5,5,4,M7-wide,7,5,6,134;012,reverse
012;143,5,042;143;013;142;031;142;021,7,5,4,M9-dataset,9,5,1,432;301,forward
012;143,5,142;043;013;142;031;143;021,7,5,4,M9-dataset,9,5,6,302;431,reverse
012;143,5,241;031;012;241;143;013;043,7,5,4,M9-C,9,5,1,234;120,reverse
012;143,5,014;123;021;123;143;041;023;043,8,5,4,M10,10,5,1,140;312,reverse
012;143,5,014;123;023;043;021;123;143;041,8,5,4,M10,10,5,3,314;120,forward
012;143,5,134;031;013;143;021;134;032;034;024,9,5,4,M11-wide,11,5,2,412;043,reverse
012;143,5,134;023;043;042;143;021;134;014;041,9,5,4,M11-wide,11,5,3,043;421,forward
021;143,5,012;143;012;021;043,5,5,4,M7-wide,7,5,3,134;021,reverse
021;143,5,142;031;142;013;143;042;012,7,5,4,M9-dataset,9,5,2,301;423,reverse
021;143,5,143;012;142;043;013;142;031,7,5,4,M9-dataset,9,5,4,302;413,reverse
021;143,5,143;031;142;013;043;142;012,7,5,4,M9-dataset,9,5,5,413;302,forward
021;143,5,134;032;034;024;143;012;134;031;013,9,5,4,M11-wide,11,5,7,412;034,reverse
021;143,5,134;014;041;143;012;134;023;043;042,9,5,4,M11-wide,11,5,8,034;421,forward
023;124,5,103;024;130;024;140;023;104,7,5,4,M9-dataset,9,5,8,301;402,forward
023;124,5,140;032;102;120;023;104;032;143;123,9,5,4,M11-wide,11,5,9,421;023,forward
023;124,5,325;164;023;162;032;146;325;142;032;126;025,11,7,6,S13-2,13,7,0,012;415,forward
023;124,5,125;524;063;125;062;152;036;524;032;152;026,11,7,6,S13-2,13,7,1,415;013,forward
023;124,5,125;026;623;145;026;142;062;154;623;152;062,11,7,6,S13-2,13,7,2,013;416,forward
023;124,5,512;036;524;032;521;124;062;521;063;512;026,11,7,6,S13-3,13,7,5,415;213,forward
023;124,5,125;602;154;623;152;620;023;142;620;145;602,11,7,6,S13-3,13,7,6,213;416,forward
023;124,5,142;052;426;053;142;032;126;035;124;426;025,11,7,6,S13-4,13,7,9,415;012,forward
023;124,5,125;032;142;326;145;032;152;026;154;023;326,11,7,6,S13-4,13,7,10,012;416,forward
023;124,5,521;026;512;032;124;036;512;062;524;063;521,11,7,6,S13-4,13,7,11,416;213,forward
031;042,5,013;142;013;031;142,5,5,4,M7-wide,7,5,1,021;034,forward
031;042,5,041;013;023;024;014;032,6,5,4,M8,8,5,2,304;312,forward
031;042,5,021;034;024;043;013;012,6,5,4,M8,8,5,4,302;341,forward
031;042,5,132;142;041;142;013;014;132;032,8,5,4,M10,10,5,8,341;320,forward
031;042,5,021;341;123;043;024;013;021;123;341;043,10,5,4,M12-wide,12,5,4,021;043,forward
031;042,5,043;341;123;021;024;013;043;123;341;021,10,5,4,M12-wide,12,5,10,012;034,forward
031;042,5,135;062;031;064;013;026;135;024;013;046;035,11,7,6,S13-1,13,7,0,012;045,forward
031;042,5,045;542;061;045;063;054;016;542;013;054;036,11,7,6,S13-1,13,7,1,045;013,forward
031;042,5,045;036;631;025;036;024;063;052;631;054;063,11,7,6,S13-1,13,7,2,013;046,forward
031;042,5,025;036;024;425;016;024;013;042;061;425;063,11,7,6,S13-1,13,7,3,046;021,forward
031;042,5,025;016;024;013;316;054;013;052;031;045;316,11,7,6,S13-1,13,7,4,021;054,forward
031;042,5,425;036;042;061;025;063;024;425;013;024;016,11,7,6,S13-1,13,7,7,056;021,forward
031;042,5,054;316;052;031;024;016;025;013;316;045;013,11,7,6,S13-1,13,7,8,021;064,forward
031;042,5,024;053;246;051;024;013;046;015;042;246;035,11,7,6,S13-1,13,7,9,064;012,forward
031;042,5,045;013;024;136;025;013;054;036;052;031;136,11,7,6,S13-1,13,7,10,012;065,forward
031;042,5,051;062;057;064;037;026;015;075;024;013;046;073,12,8,7,M14-A,14,8,0,074;012,forward
031;042,5,025;065;071;064;073;024;017;056;046;013;052;037,12,8,7,M14-A,14,8,1,012;057,forward
031;042,5,045;016;076;025;073;024;013;052;067;037;054;061,12,8,7,M14-A,14,8,2,057;013,forward
031;042,5,052;036;024;074;016;075;013;025;061;047;057;063,12,8,7,M14-A,14,8,3,013;047,forward
031;042,5,025;061;024;013;073;054;076;052;016;045;037;067,12,8,7,M14-A,14,8,4,047;021,forward
031;042,5,056;017;046;013;065;025;073;024;071;064;037;052,12,8,7,M14-A,14,8,5,021;056,forward
031;042,5,051;046;037;062;057;064;073;013;024;015;026;075,12,8,7,M14-A,14,8,7,046;023,forward
031;042,5,056;026;037;054;071;024;073;045;065;013;062;017,12,8,7,M14-A,14,8,8,023;075,forward
031;042,5,054;067;017;052;063;024;013;025;036;076;045;071,12,8,7,M14-A,14,8,9,075;031,forward
031;042,5,052;063;074;024;061;075;013;025;016;057;047;036,12,8,7,M14-A,14,8,10,031;065,forward
031;042,5,045;061;024;073;013;025;076;054;016;052;067;037,12,8,7,M14-A,14,8,11,065;032,forward
031;042,5,045;036;075;013;024;054;016;027;063;057;061;072,12,8,7,M14-A,14,8,12,032;064,forward
031;042,5,051;062;075;064;015;026;073;013;024;057;046;037,12,8,7,M14-B,14,8,0,064;012,forward
031;042,5,045;065;071;026;073;056;017;024;054;013;062;037,12,8,7,M14-B,14,8,1,012;065,forward
031;042,5,045;036;076;025;017;024;067;052;013;063;054;071,12,8,7,M14-B,14,8,2,065;013,forward
031;042,5,052;036;057;047;016;024;013;074;061;025;075;063,12,8,7,M14-B,14,8,3,013;075,forward
031;042,5,025;061;024;067;037;054;013;052;073;045;016;076,12,8,7,M14-B,14,8,4,075;021,forward
031;042,5,056;017;026;013;024;054;073;065;071;045;037;062,12,8,7,M14-B,14,8,5,021;046,forward
031;042,5,051;046;073;062;013;064;015;075;024;037;026;057,12,8,7,M14-B,14,8,7,056;023,forward
031;042,5,056;046;037;025;071;065;073;064;024;013;052;017,12,8,7,M14-B,14,8,8,023;047,forward
031;042,5,054;067;037;052;016;024;076;025;073;013;045;061,12,8,7,M14-B,14,8,9,047;031,forward
031;042,5,052;063;047;057;061;024;013;074;016;075;025;036,12,8,7,M14-B,14,8,10,031;057,forward
031;042,5,045;061;024;037;067;025;013;054;073;052;076;016,12,8,7,M14-B,14,8,11,057;032,forward
031;042,5,054;036;024;013;057;027;016;045;063;075;061;072,12,8,7,M14-B,14,8,12,032;074,forward
031;042,5,051;064;057;062;037;026;015;075;024;013;046;073,12,8,7,M14-C,14,8,0,074;012,forward
031;042,5,025;065;073;064;071;024;017;056;046;013;052;037,12,8,7,M14-C,14,8,1,012;057,forward
031;042,5,045;016;076;024;073;025;013;052;067;037;054;061,12,8,7,M14-C,14,8,2,057;013,forward
031;042,5,052;036;024;074;013;075;016;025;061;047;057;063,12,8,7,M14-C,14,8,3,013;047,forward
031;042,5,025;061;024;013;073;052;076;054;016;045;037;067,12,8,7,M14-C,14,8,4,047;021,forward
031;042,5,056;017;046;013;065;025;071;024;073;064;037;052,12,8,7,M14-C,14,8,5,021;056,forward
031;042,5,051;046;037;062;057;064;073;013;026;015;024;075,12,8,7,M14-C,14,8,7,046;023,forward
031;042,5,056;026;037;054;071;024;073;045;065;017;062;013,12,8,7,M14-C,14,8,8,023;075,forward
031;042,5,024;056;016;027;053;074;013;072;035;065;047;061,12,8,7,M14-C,14,8,9,075;032,forward
031;042,5,052;013;064;024;017;065;073;025;071;056;046;037,12,8,7,M14-C,14,8,10,032;065,forward
031;042,5,045;061;054;073;013;052;076;024;016;025;067;037,12,8,7,M14-C,14,8,11,065;031,forward
031;042,5,045;036;075;063;024;054;061;027;013;057;016;072,12,8,7,M14-C,14,8,12,031;064,forward
032;142,5,120;234;134;124;234;032;120,7,5,4,M9-C,9,5,3,032;142,forward
032;142,5,043;012;041;142;231;032;034;021;041;231,10,5,4,M12-wide,12,5,0,042;132,forward
032;142,5,240;130;143;120;142;240;032;130;134;102,10,5,4,M12-wide,12,5,2,241;031,forward
032;142,5,125;026;124;023;326;154;023;152;032;145;326,11,7,6,S13-2,13,7,4,021;451,forward
032;142,5,154;326;152;032;124;026;125;023;326;145;023,11,7,6,S13-2,13,7,8,021;461,forward
032;142,5,125;036;124;425;026;124;023;142;062;425;063,11,7,6,S13-4,13,7,3,451;021,forward
032;142,5,425;036;142;062;125;063;124;425;023;124;026,11,7,6,S13-4,13,7,7,461;021,forward
032;142,5,514;026;542;023;541;142;063;541;062;514;036,11,7,6,S13-5,13,7,5,453;213,forward
032;142,5,145;542;062;145;063;154;026;542;023;154;036,11,7,6,S13-6,13,7,1,453;013,forward
032;142,5,541;036;514;023;142;026;514;063;542;062;541,11,7,6,S13-6,13,7,11,463;213,forward
032;142,5,145;036;632;125;036;124;063;152;632;154;063,11,7,6,S13-7,13,7,2,013;453,forward
032;142,5,145;603;152;632;154;630;032;124;630;125;603,11,7,6,S13-7,13,7,6,213;463,forward
042;123,5,032;034;132;041;123;013;031;132;014,9,5,4,M11-wide,11,5,1,031;412,forward
042;123,5,152;426;153;042;132;024;135;426;024;125;026,11,7,6,S13-2,13,7,3,416;021,reverse
042;123,5,512;026;523;024;521;123;064;521;062;512;046,11,7,6,S13-2,13,7,5,451;213,forward
042;123,5,132;054;326;052;132;024;126;025;123;326;045,11,7,6,S13-2,13,7,9,461;012,forward
042;123,5,125;046;132;024;325;026;132;064;123;062;325,11,7,6,S13-3,13,7,0,012;451,reverse
042;123,5,125;523;062;125;064;152;026;523;024;152;046,11,7,6,S13-3,13,7,1,451;013,forward
042;123,5,135;026;132;024;426;152;024;153;042;125;426,11,7,6,S13-3,13,7,4,021;415,forward
042;123,5,135;024;132;426;024;152;026;153;042;125;426,11,7,6,S13-3,13,7,7,416;021,reverse
042;123,5,325;123;062;125;064;132;026;325;024;132;046,11,7,6,S13-3,13,7,10,012;461,reverse
042;123,5,521;046;512;024;123;026;512;064;523;062;521,11,7,6,S13-3,13,7,11,461;213,forward
042;123,5,152;064;523;062;152;024;125;026;523;125;046,11,7,6,S13-4,13,7,2,013;451,reverse
042;123,5,512;026;521;024;123;521;064;523;062;512;046,11,7,6,S13-4,13,7,6,213;461,reverse
042;123,5,152;426;153;042;132;026;135;024;426;125;024,11,7,6,S13-4,13,7,8,021;415,forward
042;123,5,125;064;132;642;135;064;152;046;153;642;046,11,7,6,S13-5,13,7,1,435;013,reverse
042;123,5,125;046;642;135;046;132;064;153;642;152;064,11,7,6,S13-5,13,7,2,013;436,forward
042;123,5,125;604;153;640;152;042;640;132;642;135;604,11,7,6,S13-6,13,7,5,435;213,reverse
042;123,5,125;604;153;642;152;640;042;132;640;135;604,11,7,6,S13-6,13,7,6,213;436,forward
042;123,5,540;163;542;162;504;136;042;132;504;126;540,11,7,6,S13-7,13,7,11,436;213,reverse
042;153,6,412;042;412;021;013;153;031,7,6,5,M9-D,9,6,4,042;153,forward
042;153,6,015;026;053;024;051;153;064;051;062;015;046,11,7,6,S13-1,13,7,5,054;213,forward
042;153,6,156;104;163;142;165;140;042;135;140;136;104,11,7,6,S13-1,13,7,6,213;056,forward
042;153,6,051;046;015;024;153;026;015;064;053;062;051,11,7,6,S13-1,13,7,11,065;213,forward
042;153,6,154;604;143;642;145;640;042;135;640;134;604,11,7,6,S13-2,13,7,6,213;456,forward
042;153,6,536;043;153;032;136;034;135;536;024;135;023,11,7,6,S13-2,13,7,7,456;021,forward
042;153,6,154;024;135;246;134;024;145;046;143;042;246,11,7,6,S13-2,13,7,10,012;465,forward
042;153,6,651;045;615;024;153;025;615;054;653;052;651,11,7,6,S13-2,13,7,11,465;213,forward
042;153,6,154;046;642;134;046;135;064;143;642;145;064,11,7,6,S13-3,13,7,2,013;456,forward
042;153,6,136;043;135;536;023;135;024;153;032;536;034,11,7,6,S13-3,13,7,3,456;021,forward
042;153,6,125;426;123;042;135;026;132;024;426;152;024,11,7,6,S13-3,13,7,8,021;465,forward
042;153,6,135;054;356;052;135;024;156;025;153;356;045,11,7,6,S13-3,13,7,9,465;012,forward
042;153,6,246;143;042;145;024;134;246;135;024;154;046,11,7,6,S13-4,13,7,0,012;456,forward
042;153,6,156;653;052;156;054;165;025;653;024;165;045,11,7,6,S13-4,13,7,1,456;013,forward
042;153,6,132;026;135;024;426;125;024;123;042;152;426,11,7,6,S13-4,13,7,4,021;465,forward
042;153,6,615;025;653;024;651;153;054;651;052;615;045,11,7,6,S13-4,13,7,5,465;213,forward
042;153,6,245;163;042;165;024;136;245;135;024;156;045,11,7,6,S13-5,13,7,0,012;435,forward
042;153,6,134;046;135;534;026;135;024;153;062;534;064,11,7,6,S13-5,13,7,3,436;021,forward
042;153,6,136;023;135;024;423;165;024;163;042;156;423,11,7,6,S13-5,13,7,4,021;453,forward
042;153,6,152;604;123;642;125;640;042;135;640;132;604,11,7,6,S13-5,13,7,6,213;456,forward
042;153,6,536;046;153;062;136;064;135;536;024;135;026,11,7,6,S13-5,13,7,7,456;021,forward
042;153,6,165;423;163;042;135;023;136;024;423;156;024,11,7,6,S13-5,13,7,8,021;463,forward
042;153,6,135;064;352;062;135;024;152;026;153;352;046,11,7,6,S13-5,13,7,9,463;012,forward
042;153,6,156;024;135;246;136;024;165;046;163;042;246,11,7,6,S13-5,13,7,10,012;465,forward
042;153,6,651;043;615;024;153;023;615;034;653;032;651,11,7,6,S13-5,13,7,11,465;213,forward
042;153,6,243;163;042;165;024;136;243;135;024;156;043,11,7,6,S13-6,13,7,0,012;453,forward
042;153,6,152;046;642;132;046;135;064;123;642;125;064,11,7,6,S13-6,13,7,2,013;456,forward
042;153,6,136;046;135;536;026;135;024;153;062;536;064,11,7,6,S13-6,13,7,3,456;021,forward
042;153,6,136;025;135;024;425;165;024;163;042;156;425,11,7,6,S13-6,13,7,4,021;435,forward
042;153,6,534;046;153;062;134;064;135;534;024;135;026,11,7,6,S13-6,13,7,7,436;021,forward
042;153,6,165;426;163;042;135;026;136;024;426;156;024,11,7,6,S13-6,13,7,8,021;465,forward
042;153,6,135;064;356;062;135;024;156;026;153;356;046,11,7,6,S13-6,13,7,9,465;012,forward
042;153,6,156;024;135;243;136;024;165;043;163;042;243,11,7,6,S13-6,13,7,10,012;463,forward
042;153,6,246;163;042;165;024;136;246;135;024;156;046,11,7,6,S13-7,13,7,0,012;456,forward
042;153,6,156;653;032;156;034;165;023;653;024;165;043,11,7,6,S13-7,13,7,1,456;013,forward
042;153,6,132;046;135;532;026;135;024;153;062;532;064,11,7,6,S13-7,13,7,3,453;021,forward
042;153,6,136;026;135;024;426;165;024;163;042;156;426,11,7,6,S13-7,13,7,4,021;465,forward
